Generation,BeakSize
3,4.090758909533165
3,6.940578335804977
3,8.45470021896551
3,4.814070457346627
3,7.5825550997529705
3,8.468634133877575
3,8.386881623106476
3,9.370409373782007
3,7.151998653509077
3,3.551837326641807
3,7.752579103946777
3,7.270303091060756
3,8.159731522455251
3,3.137990475392108
3,7.9852306619178455
3,9.175963934350296
3,3.552953228853666
3,8.227509646861037
3,4.141726923481561
3,2.313148047307863
3,6.6055398892857
3,8.367368146513954
3,3.495071743048968
3,8.605993098775357
3,8.297368732504534
3,7.688961275708021
3,4.841422789175113
3,7.691566172211129
3,8.496031495594998
3,7.044162117809008
3,6.717348199829233
3,7.606877979568736
3,7.648182253799023
3,8.881539778479455
3,7.326154146930336
3,8.064680806874193
3,3.446976079995058
3,8.825242182603201
3,7.165216261403315
4,3.137990475392108
4,8.681663309630308
4,6.6666191556767815
4,4.814070457346627
4,8.297368732504534
4,8.496031495594998
4,7.326154146930336
4,8.252939690156662
4,7.151998653509077
4,2.313148047307863
4,3.0133195270279307
4,7.165216261403315
4,3.495071743048968
4,4.841422789175113
4,6.940578335804977
4,8.367368146513954
4,3.552953228853666
4,8.836272672634783
4,3.446976079995058
4,8.468634133877575
4,8.881539778479455
4,7.691566172211129
4,7.606877979568736
4,8.159731522455251
4,8.45470021896551
4,3.051295762273062
4,8.064680806874193
4,7.157315010260093
4,8.605993098775357
4,4.141726923481561
4,3.551837326641807
4,9.13163292082502
4,8.387665643826974
4,8.657127591564258
4,8.748729245096737
4,7.199503540158668
4,8.068947659440028
4,4.695507579201051
4,4.116744988790612
4,8.23778203290526
4,2.528683551618143
4,9.102304516845962
4,6.60644607056182
4,7.479394122317249
4,8.642519242120422
4,8.46713880997444
4,8.325211264816648
4,7.6330127068591365
4,3.1803266698326533
4,8.335691104844592
4,7.283922491229899
5,8.325211264816648
5,7.165216261403315
5,8.605993098775357
5,8.159731522455251
5,8.387665643826974
5,4.116744988790612
5,4.841422789175113
5,4.141726923481561
5,3.551837326641807
5,8.496031495594998
5,2.528683551618143
5,7.151998653509077
5,7.6330127068591365
5,6.60644607056182
5,9.13163292082502
5,8.367368146513954
5,8.45470021896551
5,8.748729245096737
5,8.46713880997444
5,7.479394122317249
5,3.446976079995058
5,3.495071743048968
5,7.283922491229899
5,9.102304516845962
5,8.23778203290526
5,7.691566172211129
5,8.642519242120422
5,8.252939690156662
5,4.695507579201051
5,8.657127591564258
5,8.335691104844592
5,3.1803266698326533
5,8.297368732504534
5,7.606877979568736
5,4.13157013104549
5,7.471845152809219
5,8.798926040145343
5,7.452978175188749
5,2.6430729074418546
5,6.4646452393476626
5,8.02952539547212
5,9.171225592543255
5,4.155235898142764
5,8.240880645183061
5,7.433407377207884
5,7.353593593730321
5,7.5438922548649385
5,6.485236120119952
5,9.10214160483001
5,9.365161372604422
5,4.626554865156048
5,8.159287843303812
5,6.925930052783388
5,8.711392588381525
5,6.393587875368274
5,8.01119235939856
6,4.626554865156048
6,7.452978175188749
6,8.798926040145343
6,4.155235898142764
6,8.657127591564258
6,2.6430729074418546
6,8.605993098775357
6,8.159287843303812
6,7.6330127068591365
6,7.5438922548649385
6,8.711392588381525
6,8.748729245096737
6,4.13157013104549
6,6.393587875368274
6,4.116744988790612
6,9.13163292082502
6,8.02952539547212
6,8.367368146513954
6,9.102304516845962
6,6.925930052783388
6,8.642519242120422
6,7.606877979568736
6,3.1803266698326533
6,3.446976079995058
6,8.240880645183061
6,4.695507579201051
6,2.528683551618143
6,8.335691104844592
6,8.23778203290526
6,4.141726923481561
6,7.283922491229899
6,8.196793115963036
6,3.47139710570073
6,8.193170642375154
6,8.900380879315597
6,-0.5803105869639649
6,9.25310076631278
6,6.3273852115104585
6,8.72785481127018
6,7.622226901219063
6,7.391769524348227
6,3.3325158926966774
6,8.361547544554066
6,8.88720519930888
7,8.711392588381525
7,8.193170642375154
7,8.72785481127018
7,6.925930052783388
7,8.335691104844592
7,2.528683551618143
7,8.196793115963036
7,4.116744988790612
7,7.6330127068591365
7,7.283922491229899
7,8.23778203290526
7,3.1803266698326533
7,4.155235898142764
7,6.3273852115104585
7,8.798926040145343
7,4.13157013104549
7,3.47139710570073
7,8.02952539547212
7,8.657127591564258
7,7.391769524348227
7,6.393587875368274
7,8.159287843303812
7,7.452978175188749
7,8.748729245096737
7,9.102304516845962
