Generation,BeakSize
5,9.181048208251635
5,7.452454674761855
5,8.022350900939735
5,3.4457977229687695
5,3.1247426980549164
5,3.1389276359705214
5,7.901610317343507
5,7.845979519727665
5,7.831163518537386
5,8.068871235104387
5,3.4197793565677075
5,7.367878212272011
5,8.14087055417085
5,9.259137278048128
5,7.7819109539518045
5,6.8176462975154895
5,6.97246372631489
5,7.946681938495659
5,7.565432195452912
5,3.6911584870890515
5,6.974795016617449
5,8.241408085128173
5,9.063648175017804
5,5.087417477867674
5,7.932476682374016
5,8.316689180228686
5,7.953545078851557
5,4.308896505808585
5,7.188320584155527
5,7.977969832722183
5,6.805599550782626
5,9.23326028820086
5,7.385278907461147
5,8.293405967703064
5,7.243574362610455
5,4.886748579121743
5,7.197289857061236
5,7.75390585300855
6,8.860433466863288
6,7.127761198840888
6,8.241408085128173
6,4.411385381491499
6,8.485193599892066
6,8.293405967703064
6,8.316689180228686
6,7.845979519727665
6,7.367878212272011
6,9.23326028820086
6,3.6911584870890515
6,2.818045555331086
6,8.068871235104387
6,9.181048208251635
6,7.75390585300855
6,3.1247426980549164
6,7.932476682374016
6,3.4197793565677075
6,7.946681938495659
6,7.197289857061236
6,9.259137278048128
6,7.953545078851557
6,7.243574362610455
6,4.886748579121743
6,6.805599550782626
6,4.308896505808585
6,8.14087055417085
6,8.509005575365038
6,6.974795016617449
6,7.901610317343507
6,9.063648175017804
6,8.881283448148357
6,9.209103989298017
6,8.670141805842315
6,8.320126835616614
6,8.05859736821058
6,7.758494153074851
6,8.229517739825965
6,9.224047799634944
6,3.8388587107801073
6,2.8396988013307705
6,7.759010491932971
6,2.8019780405769446
6,8.798198844111536
6,9.218525422982461
6,7.744592380017912
6,6.9941714379361235
6,7.934977872181301
6,7.199974941947525
6,7.753925424739813
6,2.837033700476083
6,7.591792544902844
6,8.226816257413986
7,8.860433466863288
7,8.068871235104387
7,7.753925424739813
7,9.181048208251635
7,8.670141805842315
7,8.320126835616614
7,3.1247426980549164
7,7.758494153074851
7,7.75390585300855
7,8.293405967703064
7,3.8388587107801073
7,9.218525422982461
7,2.8019780405769446
7,7.932476682374016
7,7.953545078851557
7,2.8396988013307705
7,7.946681938495659
7,9.23326028820086
7,8.226816257413986
7,4.411385381491499
7,7.199974941947525
7,3.6911584870890515
7,4.308896505808585
7,9.259137278048128
7,7.197289857061236
7,2.837033700476083
7,7.845979519727665
7,3.4197793565677075
7,8.316689180228686
7,8.251030436687511
7,8.250706707256327
7,8.688561460394002
7,7.295294537649676
7,2.5089883694328163
7,3.2380612872166985
7,7.848775258694699
7,7.332062181958703
7,9.551560744764235
7,7.878710343123506
7,9.315672087632839
7,7.280755686792462
7,3.426898509298202
7,9.64635371357761
7,2.768663501081752
7,4.236302587477894
7,1.8207774981316702
8,7.280755686792462
8,2.768663501081752
